sentiment,source,length
positive,IMDB Review,130
positive,IMDB Review,125
positive,IMDB Review,301
positive,IMDB Review,115
positive,IMDB Review,242
positive,IMDB Review,560
positive,IMDB Review,438
negative,IMDB Review,178
positive,IMDB Review,124
positive,IMDB Review,489
negative,IMDB Review,234
negative,IMDB Review,326
positive,IMDB Review,160
positive,IMDB Review,150
negative,IMDB Review,122
positive,IMDB Review,118
negative,IMDB Review,257
positive,IMDB Review,301
positive,IMDB Review,48
positive,IMDB Review,55
negative,IMDB Review,241
positive,IMDB Review,358
positive,IMDB Review,224
negative,IMDB Review,124
positive,IMDB Review,185
negative,IMDB Review,209
negative,IMDB Review,170
positive,IMDB Review,129
negative,IMDB Review,199
negative,IMDB Review,140
positive,IMDB Review,118
positive,IMDB Review,157
positive,IMDB Review,717
positive,IMDB Review,148
negative,IMDB Review,195
negative,IMDB Review,476
negative,IMDB Review,211
positive,IMDB Review,111
negative,IMDB Review,115
negative,IMDB Review,112
positive,IMDB Review,196
negative,IMDB Review,208
negative,IMDB Review,124
positive,IMDB Review,273
negative,IMDB Review,69
negative,IMDB Review,285
positive,IMDB Review,150
positive,IMDB Review,142
negative,IMDB Review,701
positive,IMDB Review,199
positive,IMDB Review,306
positive,IMDB Review,887
negative,IMDB Review,124
positive,IMDB Review,341
positive,IMDB Review,288
negative,IMDB Review,594
negative,IMDB Review,128
positive,IMDB Review,167
positive,IMDB Review,128
positive,IMDB Review,569
negative,IMDB Review,147
positive,IMDB Review,428
negative,IMDB Review,127
negative,IMDB Review,123
positive,IMDB Review,132
negative,IMDB Review,411
negative,IMDB Review,154
negative,IMDB Review,234
positive,IMDB Review,131
negative,IMDB Review,234
negative,IMDB Review,116
negative,IMDB Review,179
positive,IMDB Review,158
positive,IMDB Review,180
positive,IMDB Review,164
positive,IMDB Review,227
positive,IMDB Review,159
positive,IMDB Review,127
positive,IMDB Review,136
positive,IMDB Review,141
positive,IMDB Review,172
positive,IMDB Review,199
positive,IMDB Review,327
negative,IMDB Review,112
negative,IMDB Review,60
negative,IMDB Review,592
negative,IMDB Review,86
negative,IMDB Review,352
positive,IMDB Review,241
negative,IMDB Review,123
positive,IMDB Review,356
positive,IMDB Review,130
negative,IMDB Review,132
positive,IMDB Review,242
negative,IMDB Review,113
negative,IMDB Review,147
negative,IMDB Review,129
positive,IMDB Review,40
positive,IMDB Review,135
negative,IMDB Review,135
positive,IMDB Review,119
positive,IMDB Review,127
positive,IMDB Review,140
negative,IMDB Review,145
negative,IMDB Review,139
negative,IMDB Review,181
positive,IMDB Review,120
positive,IMDB Review,117
positive,IMDB Review,254
negative,IMDB Review,91
positive,IMDB Review,222
negative,IMDB Review,113
negative,IMDB Review,290
positive,IMDB Review,350
negative,IMDB Review,112
negative,IMDB Review,122
negative,IMDB Review,109
positive,IMDB Review,195
positive,IMDB Review,19
negative,IMDB Review,142
positive,IMDB Review,513
positive,IMDB Review,157
positive,IMDB Review,178
positive,IMDB Review,168
positive,IMDB Review,627
positive,IMDB Review,482
positive,IMDB Review,309
positive,IMDB Review,114
negative,IMDB Review,369
positive,IMDB Review,604
negative,IMDB Review,157
negative,IMDB Review,234
negative,IMDB Review,510
positive,IMDB Review,326
negative,IMDB Review,319
positive,IMDB Review,149
positive,IMDB Review,95
negative,IMDB Review,370
negative,IMDB Review,162
negative,IMDB Review,75
negative,IMDB Review,541
positive,IMDB Review,193
positive,IMDB Review,335
negative,IMDB Review,202
negative,IMDB Review,157
positive,IMDB Review,323
positive,IMDB Review,414
negative,IMDB Review,111
negative,IMDB Review,355
positive,IMDB Review,236
negative,IMDB Review,217
negative,IMDB Review,168
negative,IMDB Review,172
negative,IMDB Review,45
negative,IMDB Review,356
positive,IMDB Review,193
positive,IMDB Review,132
negative,IMDB Review,530
positive,IMDB Review,58
positive,IMDB Review,580
positive,IMDB Review,375
negative,IMDB Review,564
positive,IMDB Review,161
positive,IMDB Review,116
positive,IMDB Review,57
positive,IMDB Review,177
negative,IMDB Review,190
negative,IMDB Review,279
negative,IMDB Review,220
positive,IMDB Review,89
negative,IMDB Review,746
positive,IMDB Review,32
negative,IMDB Review,102
positive,IMDB Review,132
negative,IMDB Review,235
negative,IMDB Review,151
positive,IMDB Review,140
negative,IMDB Review,579
positive,IMDB Review,150
negative,IMDB Review,356
negative,IMDB Review,164
negative,IMDB Review,154
negative,IMDB Review,156
negative,IMDB Review,375
positive,IMDB Review,407
negative,IMDB Review,243
negative,IMDB Review,43
positive,IMDB Review,88
negative,IMDB Review,276
negative,IMDB Review,585
positive,IMDB Review,225
negative,IMDB Review,197
negative,IMDB Review,192
positive,IMDB Review,108
positive,IMDB Review,302
negative,IMDB Review,304
positive,IMDB Review,159
negative,IMDB Review,347
negative,IMDB Review,246
positive,IMDB Review,85
negative,IMDB Review,551
positive,IMDB Review,53
positive,IMDB Review,487
negative,IMDB Review,246
negative,IMDB Review,112
negative,IMDB Review,375
positive,IMDB Review,170
negative,IMDB Review,218
negative,IMDB Review,247
negative,IMDB Review,395
negative,IMDB Review,364
positive,IMDB Review,222
positive,IMDB Review,184
negative,IMDB Review,224
negative,IMDB Review,235
negative,IMDB Review,230
negative,IMDB Review,373
negative,IMDB Review,110
negative,IMDB Review,260
negative,IMDB Review,266
negative,IMDB Review,124
positive,IMDB Review,106
negative,IMDB Review,107
positive,IMDB Review,66
positive,IMDB Review,107
negative,IMDB Review,146
positive,IMDB Review,105
negative,IMDB Review,575
positive,IMDB Review,44
negative,IMDB Review,167
negative,IMDB Review,457
positive,IMDB Review,328
negative,IMDB Review,460
positive,IMDB Review,122
negative,IMDB Review,990
positive,IMDB Review,179
positive,IMDB Review,305
negative,IMDB Review,145
negative,IMDB Review,451
negative,IMDB Review,261
positive,IMDB Review,209
positive,IMDB Review,277
positive,IMDB Review,123
positive,IMDB Review,359
positive,IMDB Review,249
negative,IMDB Review,188
positive,IMDB Review,303
positive,IMDB Review,64
negative,IMDB Review,238
positive,IMDB Review,64
positive,IMDB Review,180
negative,IMDB Review,316
positive,IMDB Review,108
positive,IMDB Review,122
negative,IMDB Review,120
negative,IMDB Review,144
negative,IMDB Review,44
positive,IMDB Review,139
positive,IMDB Review,450
positive,IMDB Review,110
positive,IMDB Review,570
negative,IMDB Review,190
negative,IMDB Review,150
positive,IMDB Review,108
negative,IMDB Review,291
positive,IMDB Review,233
positive,IMDB Review,163
positive,IMDB Review,127
positive,IMDB Review,49
negative,IMDB Review,158
negative,IMDB Review,401
negative,IMDB Review,124
negative,IMDB Review,49
negative,IMDB Review,188
positive,IMDB Review,299
negative,IMDB Review,111
negative,IMDB Review,684
positive,IMDB Review,606
positive,IMDB Review,439
negative,IMDB Review,255
positive,IMDB Review,135
positive,IMDB Review,137
negative,IMDB Review,316
positive,IMDB Review,16
negative,IMDB Review,58
negative,IMDB Review,178
positive,IMDB Review,353
positive,IMDB Review,122
positive,IMDB Review,46
negative,IMDB Review,257
positive,IMDB Review,153
negative,IMDB Review,164
positive,IMDB Review,101
negative,IMDB Review,166
negative,IMDB Review,276
positive,IMDB Review,144
positive,IMDB Review,60
negative,IMDB Review,88
positive,IMDB Review,63
negative,IMDB Review,159
negative,IMDB Review,226
negative,IMDB Review,374
positive,IMDB Review,620
negative,IMDB Review,136
positive,IMDB Review,602
negative,IMDB Review,219
positive,IMDB Review,492
negative,IMDB Review,121
positive,IMDB Review,392
negative,IMDB Review,305
negative,IMDB Review,293
negative,IMDB Review,245
negative,IMDB Review,149
negative,IMDB Review,63
positive,IMDB Review,285
positive,IMDB Review,387
negative,IMDB Review,137
positive,IMDB Review,126
positive,IMDB Review,388
negative,IMDB Review,407
negative,IMDB Review,200
negative,IMDB Review,270
negative,IMDB Review,104
positive,IMDB Review,328
positive,IMDB Review,236
negative,IMDB Review,60
positive,IMDB Review,216
negative,IMDB Review,199
negative,IMDB Review,149
positive,IMDB Review,158
positive,IMDB Review,119
positive,IMDB Review,115
negative,IMDB Review,561
negative,IMDB Review,163
positive,IMDB Review,289
positive,IMDB Review,297
negative,IMDB Review,212
negative,IMDB Review,117
negative,IMDB Review,109
positive,IMDB Review,254
negative,IMDB Review,160
negative,IMDB Review,137
positive,IMDB Review,48
negative,IMDB Review,146
positive,IMDB Review,132
negative,IMDB Review,139
negative,IMDB Review,332
positive,IMDB Review,129
negative,IMDB Review,155
negative,IMDB Review,182
positive,IMDB Review,144
negative,IMDB Review,60
positive,IMDB Review,133
positive,IMDB Review,91
positive,IMDB Review,213
positive,IMDB Review,92
negative,IMDB Review,309
negative,IMDB Review,314
positive,IMDB Review,141
positive,IMDB Review,54
positive,IMDB Review,262
positive,IMDB Review,424
positive,IMDB Review,232
negative,IMDB Review,291
positive,IMDB Review,107
negative,IMDB Review,113
negative,IMDB Review,91
positive,IMDB Review,146
positive,IMDB Review,127
positive,IMDB Review,106
negative,IMDB Review,93
positive,IMDB Review,168
negative,IMDB Review,266
positive,IMDB Review,232
positive,IMDB Review,209
negative,IMDB Review,219
negative,IMDB Review,145
negative,IMDB Review,144
negative,IMDB Review,316
positive,IMDB Review,452
positive,IMDB Review,98
negative,IMDB Review,102
positive,IMDB Review,119
positive,IMDB Review,316
positive,IMDB Review,185
positive,IMDB Review,244
positive,IMDB Review,109
negative,IMDB Review,104
negative,IMDB Review,52
negative,IMDB Review,417
negative,IMDB Review,196
negative,IMDB Review,125
negative,IMDB Review,61
negative,IMDB Review,221
positive,IMDB Review,123
negative,IMDB Review,140
negative,IMDB Review,219
negative,IMDB Review,220
negative,IMDB Review,56
positive,IMDB Review,127
positive,IMDB Review,196
positive,IMDB Review,389
positive,IMDB Review,957
negative,IMDB Review,132
positive,IMDB Review,385
negative,IMDB Review,204
positive,IMDB Review,476
positive,IMDB Review,174
positive,IMDB Review,525
negative,IMDB Review,498
positive,IMDB Review,265
positive,IMDB Review,145
negative,IMDB Review,752
negative,IMDB Review,283
negative,IMDB Review,196
negative,IMDB Review,588
positive,IMDB Review,163
positive,IMDB Review,118
negative,IMDB Review,138
positive,IMDB Review,654
positive,IMDB Review,331
negative,IMDB Review,311
positive,IMDB Review,114
positive,IMDB Review,111
positive,IMDB Review,155
negative,IMDB Review,534
negative,IMDB Review,577
negative,IMDB Review,786
positive,IMDB Review,159
negative,IMDB Review,436
negative,IMDB Review,44
positive,IMDB Review,306
negative,IMDB Review,242
negative,IMDB Review,128
negative,IMDB Review,581
positive,IMDB Review,317
positive,IMDB Review,151
negative,IMDB Review,343
positive,IMDB Review,154
positive,IMDB Review,168
positive,IMDB Review,278
positive,IMDB Review,125
negative,IMDB Review,143
negative,IMDB Review,125
positive,IMDB Review,217
positive,IMDB Review,137
positive,IMDB Review,22
positive,IMDB Review,118
positive,IMDB Review,207
positive,IMDB Review,515
negative,IMDB Review,214
negative,IMDB Review,186
negative,IMDB Review,97
negative,IMDB Review,141
negative,IMDB Review,165
negative,IMDB Review,331
positive,IMDB Review,300
negative,IMDB Review,221
positive,IMDB Review,102
negative,IMDB Review,157
positive,IMDB Review,113
positive,IMDB Review,200
negative,IMDB Review,175
positive,IMDB Review,46
positive,IMDB Review,130
positive,IMDB Review,163
negative,IMDB Review,124
positive,IMDB Review,67
negative,IMDB Review,226
negative,IMDB Review,219
positive,IMDB Review,32
negative,IMDB Review,118
negative,IMDB Review,197
negative,IMDB Review,70
positive,IMDB Review,232
negative,IMDB Review,267
positive,IMDB Review,133
negative,IMDB Review,191
negative,IMDB Review,169
positive,IMDB Review,401
negative,IMDB Review,130
negative,IMDB Review,158
positive,IMDB Review,108
positive,IMDB Review,72
positive,IMDB Review,90
positive,IMDB Review,118
negative,IMDB Review,238
negative,IMDB Review,198
negative,IMDB Review,361
positive,IMDB Review,374
positive,IMDB Review,103
positive,IMDB Review,142
negative,IMDB Review,223
negative,IMDB Review,970
positive,IMDB Review,50
positive,IMDB Review,147
positive,IMDB Review,196
negative,IMDB Review,104
negative,IMDB Review,278
negative,IMDB Review,203
positive,IMDB Review,143
positive,IMDB Review,172
negative,IMDB Review,630
positive,IMDB Review,242
positive,IMDB Review,461
positive,IMDB Review,146
positive,IMDB Review,326
positive,IMDB Review,292
negative,IMDB Review,148
positive,IMDB Review,221
negative,IMDB Review,287
negative,IMDB Review,153
positive,IMDB Review,225
negative,IMDB Review,43
negative,IMDB Review,237
positive,IMDB Review,24
positive,IMDB Review,358
negative,IMDB Review,142
negative,IMDB Review,133
positive,IMDB Review,179
positive,IMDB Review,170
positive,IMDB Review,192
negative,IMDB Review,236
negative,IMDB Review,45
negative,IMDB Review,332
positive,IMDB Review,341
negative,IMDB Review,98
negative,IMDB Review,134
negative,IMDB Review,278
negative,IMDB Review,667
negative,IMDB Review,170
positive,IMDB Review,231
positive,IMDB Review,115
negative,IMDB Review,230
positive,IMDB Review,209
negative,IMDB Review,122
positive,IMDB Review,632
positive,IMDB Review,244
negative,IMDB Review,197
positive,IMDB Review,129
positive,IMDB Review,118
negative,IMDB Review,149
negative,IMDB Review,126
positive,IMDB Review,330
negative,IMDB Review,267
positive,IMDB Review,171
positive,IMDB Review,237
positive,IMDB Review,125
negative,IMDB Review,204
negative,IMDB Review,188
positive,IMDB Review,256
positive,IMDB Review,226
negative,IMDB Review,121
negative,IMDB Review,577
positive,IMDB Review,431
positive,IMDB Review,153
positive,IMDB Review,391
positive,IMDB Review,328
negative,IMDB Review,204
positive,IMDB Review,211
negative,IMDB Review,219
negative,IMDB Review,134
positive,IMDB Review,151
negative,IMDB Review,68
negative,IMDB Review,121
positive,IMDB Review,361
negative,IMDB Review,184
negative,IMDB Review,117
positive,IMDB Review,109
negative,IMDB Review,338
positive,IMDB Review,148
positive,IMDB Review,126
positive,IMDB Review,411
positive,IMDB Review,189
negative,IMDB Review,177
positive,IMDB Review,318
negative,IMDB Review,279
negative,IMDB Review,558
negative,IMDB Review,169
negative,IMDB Review,148
positive,IMDB Review,334
positive,IMDB Review,105
positive,IMDB Review,125
negative,IMDB Review,134
negative,IMDB Review,225
negative,IMDB Review,275
positive,IMDB Review,299
negative,IMDB Review,265
positive,IMDB Review,151
negative,IMDB Review,162
positive,IMDB Review,724
negative,IMDB Review,536
negative,IMDB Review,9
negative,IMDB Review,143
negative,IMDB Review,180
negative,IMDB Review,257
negative,IMDB Review,280
negative,IMDB Review,142
negative,IMDB Review,177
negative,IMDB Review,422
negative,IMDB Review,151
negative,IMDB Review,193
positive,IMDB Review,133
negative,IMDB Review,139
negative,IMDB Review,60
positive,IMDB Review,295
positive,IMDB Review,64
negative,IMDB Review,25
positive,IMDB Review,165
positive,IMDB Review,204
positive,IMDB Review,441
negative,IMDB Review,135
positive,IMDB Review,178
negative,IMDB Review,48
negative,IMDB Review,255
positive,IMDB Review,436
positive,IMDB Review,177
negative,IMDB Review,268
positive,IMDB Review,55
positive,IMDB Review,49
positive,IMDB Review,987
negative,IMDB Review,465
negative,IMDB Review,397
positive,IMDB Review,156
negative,IMDB Review,145
positive,IMDB Review,82
positive,IMDB Review,229
positive,IMDB Review,42
negative,IMDB Review,248
negative,IMDB Review,160
positive,IMDB Review,146
positive,IMDB Review,672
negative,IMDB Review,269
positive,IMDB Review,243
positive,IMDB Review,287
positive,IMDB Review,126
positive,IMDB Review,113
negative,IMDB Review,247
negative,IMDB Review,290
negative,IMDB Review,217
positive,IMDB Review,91
positive,IMDB Review,128
positive,IMDB Review,142
positive,IMDB Review,200
positive,IMDB Review,173
positive,IMDB Review,198
positive,IMDB Review,215
positive,IMDB Review,249
negative,IMDB Review,238
positive,IMDB Review,144
positive,IMDB Review,134
negative,IMDB Review,73
negative,IMDB Review,162
negative,IMDB Review,349
positive,IMDB Review,182
negative,IMDB Review,98
positive,IMDB Review,372
negative,IMDB Review,112
positive,IMDB Review,148
negative,IMDB Review,203
positive,IMDB Review,123
negative,IMDB Review,226
negative,IMDB Review,203
negative,IMDB Review,130
negative,IMDB Review,142
negative,IMDB Review,214
positive,IMDB Review,117
positive,IMDB Review,123
positive,IMDB Review,140
negative,IMDB Review,126
negative,IMDB Review,118
positive,IMDB Review,69
negative,IMDB Review,157
positive,IMDB Review,73
negative,IMDB Review,214
positive,IMDB Review,534
negative,IMDB Review,685
negative,IMDB Review,500
negative,IMDB Review,348
positive,IMDB Review,110
negative,IMDB Review,249
negative,IMDB Review,418
positive,IMDB Review,134
positive,IMDB Review,105
negative,IMDB Review,119
positive,IMDB Review,226
negative,IMDB Review,120
positive,IMDB Review,108
negative,IMDB Review,163
negative,IMDB Review,48
positive,IMDB Review,169
positive,IMDB Review,241
negative,IMDB Review,183
negative,IMDB Review,139
positive,IMDB Review,203
positive,IMDB Review,140
negative,IMDB Review,483
positive,IMDB Review,64
negative,IMDB Review,59
positive,IMDB Review,239
negative,IMDB Review,142
positive,IMDB Review,234
positive,IMDB Review,119
negative,IMDB Review,180
positive,IMDB Review,112
positive,IMDB Review,376
negative,IMDB Review,129
positive,IMDB Review,144
positive,IMDB Review,180
positive,IMDB Review,211
negative,IMDB Review,71
negative,IMDB Review,156
positive,IMDB Review,175
positive,IMDB Review,119
positive,IMDB Review,150
positive,IMDB Review,185
positive,IMDB Review,61
negative,IMDB Review,126
positive,IMDB Review,166
positive,IMDB Review,42
positive,IMDB Review,215
negative,IMDB Review,128
negative,IMDB Review,191
positive,IMDB Review,164
negative,IMDB Review,117
positive,IMDB Review,138
positive,IMDB Review,307
negative,IMDB Review,151
positive,IMDB Review,594
positive,IMDB Review,121
positive,IMDB Review,221
positive,IMDB Review,344
negative,IMDB Review,107
positive,IMDB Review,189
negative,IMDB Review,405
positive,IMDB Review,512
negative,IMDB Review,893
negative,IMDB Review,244
positive,IMDB Review,292
negative,IMDB Review,113
negative,IMDB Review,56
positive,IMDB Review,64
negative,IMDB Review,422
negative,IMDB Review,280
positive,IMDB Review,114
negative,IMDB Review,208
negative,IMDB Review,113
positive,IMDB Review,134
negative,IMDB Review,409
negative,IMDB Review,147
negative,IMDB Review,147
positive,IMDB Review,145
positive,IMDB Review,247
negative,IMDB Review,151
negative,IMDB Review,55
positive,IMDB Review,60
positive,IMDB Review,201
negative,IMDB Review,429
positive,IMDB Review,608
negative,IMDB Review,108
positive,IMDB Review,2108
negative,IMDB Review,376
negative,IMDB Review,154
positive,IMDB Review,605
negative,IMDB Review,105
positive,IMDB Review,123
positive,IMDB Review,197
negative,IMDB Review,174
negative,IMDB Review,288
positive,IMDB Review,670
positive,IMDB Review,156
negative,IMDB Review,113
negative,IMDB Review,251
negative,IMDB Review,236
positive,IMDB Review,160
positive,IMDB Review,311
negative,IMDB Review,222
negative,IMDB Review,115
positive,IMDB Review,93
negative,IMDB Review,108
negative,IMDB Review,109
positive,IMDB Review,68
negative,IMDB Review,148
positive,IMDB Review,413
positive,IMDB Review,134
positive,IMDB Review,146
positive,IMDB Review,151
negative,IMDB Review,121
negative,IMDB Review,165
positive,IMDB Review,144
positive,IMDB Review,106
negative,IMDB Review,485
negative,IMDB Review,136
positive,IMDB Review,346
positive,IMDB Review,99
negative,IMDB Review,744
positive,IMDB Review,115
positive,IMDB Review,267
negative,IMDB Review,777
positive,IMDB Review,332
negative,IMDB Review,593
negative,IMDB Review,337
positive,IMDB Review,164
negative,IMDB Review,188
negative,IMDB Review,96
negative,IMDB Review,464
negative,IMDB Review,504
negative,IMDB Review,379
negative,IMDB Review,200
positive,IMDB Review,409
negative,IMDB Review,133
positive,IMDB Review,126
positive,IMDB Review,116
positive,IMDB Review,356
negative,IMDB Review,157
negative,IMDB Review,51
negative,IMDB Review,333
negative,IMDB Review,165
negative,IMDB Review,177
positive,IMDB Review,526
negative,IMDB Review,127
negative,IMDB Review,231
positive,IMDB Review,340
negative,IMDB Review,344
negative,IMDB Review,196
positive,IMDB Review,60
positive,IMDB Review,341
negative,IMDB Review,145
negative,IMDB Review,231
positive,IMDB Review,128
positive,IMDB Review,236
negative,IMDB Review,143
positive,IMDB Review,1001
positive,IMDB Review,138
negative,IMDB Review,289
positive,IMDB Review,354
negative,IMDB Review,72
positive,IMDB Review,452
positive,IMDB Review,470
positive,IMDB Review,148
positive,IMDB Review,184
negative,IMDB Review,270
positive,IMDB Review,624
negative,IMDB Review,139
positive,IMDB Review,724
positive,IMDB Review,54
positive,IMDB Review,213
positive,IMDB Review,163
negative,IMDB Review,26
negative,IMDB Review,114
negative,IMDB Review,109
negative,IMDB Review,127
negative,IMDB Review,71
negative,IMDB Review,771
positive,IMDB Review,165
positive,IMDB Review,142
positive,IMDB Review,430
positive,IMDB Review,129
negative,IMDB Review,185
positive,IMDB Review,130
positive,IMDB Review,134
negative,IMDB Review,185
positive,IMDB Review,196
negative,IMDB Review,110
positive,IMDB Review,278
negative,IMDB Review,57
negative,IMDB Review,206
positive,IMDB Review,160
positive,IMDB Review,660
positive,IMDB Review,228
negative,IMDB Review,228
positive,IMDB Review,213
positive,IMDB Review,260
positive,IMDB Review,136
positive,IMDB Review,153
positive,IMDB Review,50
negative,IMDB Review,249
positive,IMDB Review,123
positive,IMDB Review,134
positive,IMDB Review,476
positive,IMDB Review,547
negative,IMDB Review,347
positive,IMDB Review,133
positive,IMDB Review,103
positive,IMDB Review,84
positive,IMDB Review,126
negative,IMDB Review,157
positive,IMDB Review,105
negative,IMDB Review,363
positive,IMDB Review,211
positive,IMDB Review,323
positive,IMDB Review,135
negative,IMDB Review,210
negative,IMDB Review,79
positive,IMDB Review,44
positive,IMDB Review,140
positive,IMDB Review,367
negative,IMDB Review,190
negative,IMDB Review,91
negative,IMDB Review,134
positive,IMDB Review,292
negative,IMDB Review,285
negative,IMDB Review,149
positive,IMDB Review,133
positive,IMDB Review,133
positive,IMDB Review,171
negative,IMDB Review,209
negative,IMDB Review,116
negative,IMDB Review,345
positive,IMDB Review,165
positive,IMDB Review,788
negative,IMDB Review,88
positive,IMDB Review,199
positive,IMDB Review,147
positive,IMDB Review,214
positive,IMDB Review,66
positive,IMDB Review,482
negative,IMDB Review,127
positive,IMDB Review,305
negative,IMDB Review,47
negative,IMDB Review,103
negative,IMDB Review,144
positive,IMDB Review,121
positive,IMDB Review,127
positive,IMDB Review,439
negative,IMDB Review,68
positive,IMDB Review,200
positive,IMDB Review,475
negative,IMDB Review,173
negative,IMDB Review,173
positive,IMDB Review,255
positive,IMDB Review,85
positive,IMDB Review,222
positive,IMDB Review,130
positive,IMDB Review,130
positive,IMDB Review,215
negative,IMDB Review,219
negative,IMDB Review,113
positive,IMDB Review,204
negative,IMDB Review,261
negative,IMDB Review,104
negative,IMDB Review,440
positive,IMDB Review,176
negative,IMDB Review,172
positive,IMDB Review,283
positive,IMDB Review,126
positive,IMDB Review,139
negative,IMDB Review,80
negative,IMDB Review,186
positive,IMDB Review,110
negative,IMDB Review,320
positive,IMDB Review,138
positive,IMDB Review,59
positive,IMDB Review,149
negative,IMDB Review,178
negative,IMDB Review,133
positive,IMDB Review,2125
positive,IMDB Review,219
positive,IMDB Review,124
negative,IMDB Review,185
negative,IMDB Review,763
positive,IMDB Review,211
positive,IMDB Review,115
positive,IMDB Review,141
negative,IMDB Review,99
positive,IMDB Review,204
negative,IMDB Review,210
negative,IMDB Review,295
negative,IMDB Review,432
negative,IMDB Review,126
negative,IMDB Review,243
positive,IMDB Review,368
negative,IMDB Review,419
negative,IMDB Review,130
negative,IMDB Review,97
negative,IMDB Review,177
positive,IMDB Review,518
negative,IMDB Review,158
positive,IMDB Review,146
positive,IMDB Review,189
negative,IMDB Review,141
positive,IMDB Review,173
negative,IMDB Review,179
positive,IMDB Review,111
positive,IMDB Review,420
positive,IMDB Review,240
negative,IMDB Review,95
negative,IMDB Review,82
positive,IMDB Review,398
positive,IMDB Review,69
negative,IMDB Review,178
positive,IMDB Review,127
negative,IMDB Review,454
negative,IMDB Review,361
positive,IMDB Review,226
negative,IMDB Review,132
positive,IMDB Review,238
positive,IMDB Review,289
positive,IMDB Review,146
positive,IMDB Review,72
negative,IMDB Review,232
positive,IMDB Review,2470
positive,IMDB Review,234
negative,IMDB Review,234
negative,IMDB Review,728
negative,IMDB Review,73
negative,IMDB Review,124
negative,IMDB Review,252
negative,IMDB Review,367
negative,IMDB Review,482
positive,IMDB Review,116
negative,IMDB Review,193
positive,IMDB Review,133
positive,IMDB Review,154
negative,IMDB Review,216
positive,IMDB Review,143
negative,IMDB Review,118
negative,IMDB Review,137
negative,IMDB Review,164
negative,IMDB Review,178
positive,IMDB Review,277
negative,IMDB Review,213
negative,IMDB Review,250
negative,IMDB Review,192
positive,IMDB Review,129
negative,IMDB Review,119
positive,IMDB Review,107
negative,IMDB Review,166
positive,IMDB Review,87
negative,IMDB Review,115
positive,IMDB Review,210
negative,IMDB Review,210
negative,IMDB Review,176
positive,IMDB Review,504
negative,IMDB Review,49
negative,IMDB Review,176
negative,IMDB Review,145
positive,IMDB Review,432
positive,IMDB Review,241
positive,IMDB Review,407
positive,IMDB Review,721
positive,IMDB Review,128
negative,IMDB Review,372
negative,IMDB Review,184
positive,IMDB Review,57
positive,IMDB Review,226
positive,IMDB Review,199
positive,IMDB Review,692
negative,IMDB Review,354
negative,IMDB Review,56
negative,IMDB Review,167
positive,IMDB Review,166
negative,IMDB Review,165
negative,IMDB Review,89
positive,IMDB Review,119
positive,IMDB Review,119
positive,IMDB Review,516
positive,IMDB Review,340
positive,IMDB Review,361
negative,IMDB Review,127
negative,IMDB Review,78
negative,IMDB Review,397
negative,IMDB Review,371
negative,IMDB Review,121
positive,IMDB Review,456
negative,IMDB Review,187
negative,IMDB Review,193
negative,IMDB Review,245
negative,IMDB Review,114
positive,IMDB Review,124
positive,IMDB Review,119
positive,IMDB Review,671
negative,IMDB Review,207
negative,IMDB Review,575
positive,IMDB Review,205
negative,IMDB Review,69
positive,IMDB Review,1001
positive,IMDB Review,287
positive,IMDB Review,979
positive,IMDB Review,120
negative,IMDB Review,201
negative,IMDB Review,124
negative,IMDB Review,126
negative,IMDB Review,451
positive,IMDB Review,484
positive,IMDB Review,149
positive,IMDB Review,124
positive,IMDB Review,154
positive,IMDB Review,66
negative,IMDB Review,152
positive,IMDB Review,161
negative,IMDB Review,210
positive,IMDB Review,133
negative,IMDB Review,146
positive,IMDB Review,531
negative,IMDB Review,117
positive,IMDB Review,116
positive,IMDB Review,75
negative,IMDB Review,219
negative,IMDB Review,140
positive,IMDB Review,468
negative,IMDB Review,252
negative,IMDB Review,259
positive,IMDB Review,165
negative,IMDB Review,463
negative,IMDB Review,211
positive,IMDB Review,130
positive,IMDB Review,294
negative,IMDB Review,285
positive,IMDB Review,134
positive,IMDB Review,109
negative,IMDB Review,207
negative,IMDB Review,559
negative,IMDB Review,290
positive,IMDB Review,186
negative,IMDB Review,549
negative,IMDB Review,143
positive,IMDB Review,118
positive,IMDB Review,38
positive,IMDB Review,147
negative,IMDB Review,225
positive,IMDB Review,189
positive,IMDB Review,640
negative,IMDB Review,668
negative,IMDB Review,59
positive,IMDB Review,455
negative,IMDB Review,223
positive,IMDB Review,42
positive,IMDB Review,198
positive,IMDB Review,510
positive,IMDB Review,116
positive,IMDB Review,333
negative,IMDB Review,895
negative,IMDB Review,125
negative,IMDB Review,618
negative,IMDB Review,291
positive,IMDB Review,42
negative,IMDB Review,133
positive,IMDB Review,203
negative,IMDB Review,311
negative,IMDB Review,516
negative,IMDB Review,172
positive,IMDB Review,150
positive,IMDB Review,349
negative,IMDB Review,345
positive,IMDB Review,157
positive,IMDB Review,200
positive,IMDB Review,161
positive,IMDB Review,71
negative,IMDB Review,239
positive,IMDB Review,136
negative,IMDB Review,110
negative,IMDB Review,143
positive,IMDB Review,458
positive,IMDB Review,245
positive,IMDB Review,292
negative,IMDB Review,217
positive,IMDB Review,190
positive,IMDB Review,621
positive,IMDB Review,157
positive,IMDB Review,106
negative,IMDB Review,149
negative,IMDB Review,126
negative,IMDB Review,112
positive,IMDB Review,165
